movie_name,budget,revenue,genre,actors_y,directors_y
The Legend of Tarzan,"$180,000,000","$356,743,061","Action, Adventure","Alexander Skarsgård, Margot Robbie, Christoph Waltz",David Yates
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$180,000,000","$748,806,957","Adventure, Family, Fantasy","William Moseley, Anna Popplewell, Skandar Keynes",Andrew Adamson
X-Men: Apocalypse,"$178,000,000","$543,934,787",Science Fiction,"James McAvoy, Michael Fassbender, Jennifer Lawrence",Bryan Singer
The Dark Knight,"$185,000,000","$1,004,558,444","Drama, Action, Crime, Thriller","Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan
Up,"$175,000,000","$735,099,082","Animation, Comedy, Family, Adventure","Ed Asner, Christopher Plummer, Jordan Nagai",Pete Docter
Monsters vs Aliens,"$175,000,000","$381,509,870","Animation, Family, Adventure, Science Fiction","Seth Rogen, Reese Witherspoon, Hugh Laurie",Conrad Vernon
Iron Man,"$140,000,000","$585,174,222","Action, Science Fiction, Adventure","Robert Downey Jr., Terrence Howard, Jeff Bridges",Jon Favreau
Hugo,"$170,000,000","$185,770,160","Adventure, Drama, Family","Ben Kingsley, Sacha Baron Cohen, Asa Butterfield",Martin Scorsese
Wild Wild West,"$170,000,000","$222,104,681","Action, Adventure, Comedy, Science Fiction, Western","Will Smith, Kevin Kline, Kenneth Branagh",Barry Sonnenfeld
The Mummy: Tomb of the Dragon Emperor,"$145,000,000","$401,128,639","Adventure, Action, Fantasy","Brendan Fraser, Jet Li, John Hannah",Rob Cohen
Suicide Squad,"$175,000,000","$745,000,000","Action, Adventure, Crime, Fantasy, Science Fiction","Will Smith, Margot Robbie, Joel Kinnaman",David Ayer
Evan Almighty,"$175,000,000","$173,000,000","Fantasy, Comedy, Family","Steve Carell, Lauren Graham, John Goodman",Tom Shadyac
Edge of Tomorrow,"$178,000,000","$370,541,256","Action, Science Fiction","Tom Cruise, Emily Blunt, Brendan Gleeson",Doug Liman
Waterworld,"$175,000,000","$264,218,220","Adventure, Action","Kevin Costner, Chaim Girafi, Rick Aviles",Kevin Reynolds
G.I. Joe: The Rise of Cobra,"$175,000,000","$302,469,017","Adventure, Action, Thriller, Science Fiction","Dennis Quaid, Channing Tatum, Marlon Wayans",Stephen Sommers
Inside Out,"$175,000,000","$857,611,174","Drama, Comedy, Animation, Family","Amy Poehler, Phyllis Smith, Richard Kind",Pete Docter
The Jungle Book,"$175,000,000","$966,550,600","Family, Adventure, Drama, Fantasy","Neel Sethi, Bill Murray, Ben Kingsley",Jon Favreau
Iron Man 2,"$200,000,000","$623,933,331","Adventure, Action, Science Fiction","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle",Jon Favreau
Snow White and the Huntsman,"$170,000,000","$396,600,000","Adventure, Fantasy, Drama","Kristen Stewart, Charlize Theron, Chris Hemsworth",Rupert Sanders
Maleficent,"$180,000,000","$758,539,785","Fantasy, Adventure, Action, Family, Romance","Angelina Jolie, Elle Fanning, Sharlto Copley",Robert Stromberg
Dawn of the Planet of the Apes,"$170,000,000","$710,644,566","Science Fiction, Action, Drama, Thriller","Andy Serkis, Jason Clarke, Gary Oldman",Matt Reeves
The Lovers,"$27,000,000",$0,"Action, Adventure, Science Fiction, Romance","Josh Hartnett, Simone Kessell, Tamsin Egerton",Roland Joffé
47 Ronin,"$175,000,000","$150,962,475","Drama, Action, Adventure, Fantasy","Keanu Reeves, Hiroyuki Sanada, Kou Shibasaki",Carl Rinsch
Captain America: The Winter Soldier,"$170,000,000","$714,766,572","Action, Adventure, Science Fiction","Chris Evans, Samuel L. Jackson, Scarlett Johansson",Anthony Russo
Shrek Forever After,"$165,000,000","$752,600,867","Comedy, Adventure, Fantasy, Animation, Family","Mike Myers, Eddie Murphy, Cameron Diaz",Mike Mitchell
Tomorrowland,"$190,000,000","$209,154,322","Adventure, Family, Mystery, Science Fiction","Britt Robertson, George Clooney, Raffey Cassidy",Brad Bird
Big Hero 6,"$165,000,000","$652,105,443","Adventure, Family, Animation, Action, Comedy","Scott Adsit, Ryan Potter, Daniel Henney",Chris Williams
Wreck-It Ralph,"$165,000,000","$471,222,889","Family, Animation, Comedy, Adventure","John C. Reilly, Sarah Silverman, Jack McBrayer",Rich Moore
The Polar Express,"$165,000,000","$305,875,730","Adventure, Animation, Family, Fantasy","Tom Hanks, Michael Jeter, Nona Gaye",Robert Zemeckis
Independence Day: Resurgence,"$165,000,000","$389,681,935","Action, Adventure, Science Fiction","Liam Hemsworth, Jeff Goldblum, Bill Pullman",Roland Emmerich
How to Train Your Dragon,"$165,000,000","$494,878,759","Fantasy, Adventure, Animation, Family","Jay Baruchel, Gerard Butler, Craig Ferguson",Chris Sanders
Terminator 3: Rise of the Machines,"$200,000,000","$435,000,000","Action, Thriller, Science Fiction","Arnold Schwarzenegger, Nick Stahl, Claire Danes",Jonathan Mostow
Guardians of the Galaxy,"$170,000,000","$773,328,629","Action, Science Fiction, Adventure","Chris Pratt, Zoe Saldana, Dave Bautista",James Gunn
Interstellar,"$165,000,000","$675,120,017","Adventure, Drama, Science Fiction","Matthew McConaughey, Jessica Chastain, Anne Hathaway",Christopher Nolan
Inception,"$160,000,000","$825,532,764","Action, Thriller, Science Fiction, Mystery, Adventure","Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page",Christopher Nolan
Shin Godzilla,"$15,000,000","$77,000,000","Action, Adventure, Drama, Horror, Science Fiction","Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara",Hideaki Anno
The Hobbit: An Unexpected Journey,"$250,000,000","$1,021,103,568","Adventure, Fantasy, Action","Ian McKellen, Martin Freeman, Richard Armitage",Peter Jackson
The Fast and the Furious,"$38,000,000","$207,283,925","Action, Crime, Thriller","Paul Walker, Vin Diesel, Michelle Rodriguez",Rob Cohen
The Curious Case of Benjamin Button,"$150,000,000","$333,932,083","Fantasy, Drama, Thriller, Mystery, Romance","Cate Blanchett, Brad Pitt, Tilda Swinton",David Fincher
X-Men: First Class,"$160,000,000","$353,624,124","Action, Science Fiction, Adventure","James McAvoy, Michael Fassbender, Jennifer Lawrence",Matthew Vaughn
The Hunger Games: Mockingjay - Part 2,"$160,000,000","$653,428,261","Action, Adventure, Science Fiction","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",Francis Lawrence
The Sorcerer's Apprentice,"$150,000,000","$215,283,742","Fantasy, Adventure, Action, Comedy, Drama","Nicolas Cage, Jay Baruchel, Monica Bellucci",Jon Turteltaub
Poseidon,"$160,000,000","$181,674,817","Adventure, Action, Drama, Thriller","Kurt Russell, Richard Dreyfuss, Josh Lucas",Wolfgang Petersen
Alice Through the Looking Glass,"$170,000,000","$299,370,084",Fantasy,"Johnny Depp, Mia Wasikowska, Anne Hathaway",James Bobin
Shrek the Third,"$160,000,000","$798,958,165","Fantasy, Adventure, Animation, Comedy, Family","Mike Myers, Eddie Murphy, Cameron Diaz",Chris Miller
Warcraft,"$160,000,000","$433,677,183","Action, Adventure, Fantasy","Paula Patton, Travis Fimmel, Ben Foster",Duncan Jones
Terminator Genisys,"$155,000,000","$440,603,537","Science Fiction, Action, Thriller, Adventure","Arnold Schwarzenegger, Jason Clarke, Emilia Clarke",Alan Taylor
The Chronicles of Narnia: The Voyage of the Dawn Treader,"$155,000,000","$415,686,217","Adventure, Family, Fantasy","Skandar Keynes, Georgie Henley, Simon Pegg",Michael Apted
Pearl Harbor,"$140,000,000","$449,220,945","History, Romance, War","Ben Affleck, Josh Hartnett, Kate Beckinsale",Michael Bay
Transformers,"$150,000,000","$709,709,780","Adventure, Science Fiction, Action","Shia LaBeouf, Josh Duhamel, Megan Fox",Michael Bay
Alexander,"$155,000,000","$167,298,192","War, History, Action, Adventure, Drama, Romance","Colin Farrell, Angelina Jolie, Val Kilmer",Oliver Stone
Harry Potter and the Order of the Phoenix,"$150,000,000","$938,212,738","Adventure, Fantasy, Family, Mystery","Daniel Radcliffe, Rupert Grint, Emma Watson",David Yates
Harry Potter and the Goblet of Fire,"$150,000,000","$895,921,036","Adventure, Fantasy, Family","Daniel Radcliffe, Rupert Grint, Emma Watson",Mike Newell
Hancock,"$150,000,000","$624,029,371","Fantasy, Action","Will Smith, Charlize Theron, Jason Bateman",Peter Berg
I Am Legend,"$150,000,000","$585,349,010","Drama, Horror, Action, Thriller, Science Fiction","Will Smith, Alice Braga, Charlie Tahan",Francis Lawrence
Charlie and the Chocolate Factory,"$150,000,000","$474,968,763","Adventure, Comedy, Family, Fantasy","Johnny Depp, Freddie Highmore, David Kelly",Tim Burton
Ratatouille,"$150,000,000","$623,722,818","Animation, Comedy, Family, Fantasy","Patton Oswalt, Ian Holm, Lou Romano",Jan Pinkava
Batman Begins,"$150,000,000","$374,218,673","Action, Crime, Drama","Christian Bale, Michael Caine, Liam Neeson",Christopher Nolan
Madagascar: Escape 2 Africa,"$150,000,000","$603,900,354","Family, Animation","Ben Stiller, Jada Pinkett Smith, David Schwimmer",Eric Darnell
Night at the Museum: Battle of the Smithsonian,"$150,000,000","$413,106,170","Adventure, Fantasy, Action, Comedy, Family","Ben Stiller, Amy Adams, Owen Wilson",Shawn Levy
X-Men Origins: Wolverine,"$150,000,000","$373,062,864","Adventure, Action, Thriller, Science Fiction","Hugh Jackman, Liev Schreiber, Danny Huston",Gavin Hood
The Matrix Revolutions,"$150,000,000","$424,988,211","Adventure, Action, Thriller, Science Fiction","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",Lilly Wachowski
Frozen,"$150,000,000","$1,274,219,009","Animation, Adventure, Family","Kristen Bell, Idina Menzel, Jonathan Groff",Chris Buck
The Matrix Reloaded,"$150,000,000","$738,599,701","Adventure, Action, Thriller, Science Fiction","Keanu Reeves, Carrie-Anne Moss, Laurence Fishburne",Lilly Wachowski
Thor: The Dark World,"$170,000,000","$644,571,402","Action, Adventure, Fantasy","Chris Hemsworth, Natalie Portman, Tom Hiddleston",Alan Taylor
Mad Max: Fury Road,"$150,000,000","$378,858,340","Action, Adventure, Science Fiction, Thriller","Tom Hardy, Charlize Theron, Nicholas Hoult",George Miller
Angels & Demons,"$150,000,000","$356,613,439","Thriller, Mystery","Tom Hanks, Ewan McGregor, Ayelet Zurer",Ron Howard
Thor,"$150,000,000","$449,326,618","Adventure, Fantasy, Action","Chris Hemsworth, Natalie Portman, Tom Hiddleston",Kenneth Branagh
Bolt,"$150,000,000","$309,979,994","Animation, Family, Adventure, Comedy","John Travolta, Miley Cyrus, Susie Essman",Chris Williams
G-Force,"$150,000,000","$292,817,841","Fantasy, Action, Adventure, Family, Comedy","Sam Rockwell, Penélope Cruz, Tracy Morgan",Hoyt Yeatman
Wrath of the Titans,"$150,000,000","$301,000,000",Adventure,"Sam Worthington, Liam Neeson, Ralph Fiennes",Jonathan Liebesman
Dark Shadows,"$150,000,000","$245,527,149","Comedy, Fantasy","Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter",Tim Burton
Mission: Impossible - Rogue Nation,"$150,000,000","$682,330,139","Action, Adventure, Thriller","Tom Cruise, Rebecca Ferguson, Simon Pegg",Christopher McQuarrie
The Wolfman,"$150,000,000",$0,"Drama, Horror, Thriller","Benicio del Toro, Anthony Hopkins, Emily Blunt",Joe Johnston
Bee Movie,"$150,000,000","$287,594,577","Family, Animation, Adventure, Comedy","Jerry Seinfeld, Renée Zellweger, Jim Cummings",Steve Hickner
Kung Fu Panda 2,"$150,000,000","$665,692,281","Animation, Family","Jack Black, Angelina Jolie, Dustin Hoffman",Jennifer Yuh Nelson
The Last Airbender,"$150,000,000","$318,502,923","Action, Adventure, Family, Fantasy","Noah Ringer, Nicola Peltz, Jackson Rathbone",M. Night Shyamalan
Mission: Impossible III,"$150,000,000","$397,850,012","Adventure, Action, Thriller","Tom Cruise, Philip Seymour Hoffman, Ving Rhames",J.J. Abrams
White House Down,"$150,000,000","$205,366,737","Action, Drama, Thriller","Channing Tatum, Jamie Foxx, Joey King",Roland Emmerich
Mars Needs Moms,"$150,000,000","$38,992,758","Adventure, Animation, Family","Seth Green, Joan Cusack, Dan Fogler",Simon Wells
Flushed Away,"$149,000,000","$64,459,316","Adventure, Animation, Comedy, Family","Hugh Jackman, Kate Winslet, Ian McKellen",David Bowers
Pan,"$150,000,000","$128,388,320","Adventure, Family, Fantasy","Levi Miller, Garrett Hedlund, Hugh Jackman",Joe Wright
Mr. Peabody & Sherman,"$145,000,000","$272,912,430","Animation, Adventure, Family","Ty Burrell, Max Charles, Ariel Winter",Rob Minkoff
Troy,"$175,000,000","$497,409,852","Adventure, Drama, War","Brad Pitt, Orlando Bloom, Eric Bana",Wolfgang Petersen
Madagascar 3: Europe's Most Wanted,"$145,000,000","$746,921,274","Animation, Family","Ben Stiller, Sacha Baron Cohen, David Schwimmer",Conrad Vernon
Die Another Day,"$140,000,000","$431,971,116","Adventure, Action, Thriller","Pierce Brosnan, Halle Berry, Rosamund Pike",Lee Tamahori
Ghostbusters,"$144,000,000","$229,147,509","Action, Fantasy, Comedy","Melissa McCarthy, Kristen Wiig, Kate McKinnon",Paul Feig
Armageddon,"$140,000,000","$553,799,566","Action, Thriller, Science Fiction, Adventure","Bruce Willis, Billy Bob Thornton, Ben Affleck",Michael Bay
Men in Black II,"$140,000,000","$441,818,803","Action, Adventure, Comedy, Science Fiction","Tommy Lee Jones, Will Smith, Rip Torn",Barry Sonnenfeld
Beowulf,"$70,000,000","$195,735,876","Adventure, Action, Animation","Ray Winstone, Angelina Jolie, Anthony Hopkins",Robert Zemeckis
Kung Fu Panda 3,"$145,000,000","$521,170,825","Action, Adventure, Animation, Comedy, Family","Jack Black, Bryan Cranston, Dustin Hoffman",Jennifer Yuh Nelson
Mission: Impossible - Ghost Protocol,"$145,000,000","$694,713,380","Action, Thriller, Adventure","Tom Cruise, Jeremy Renner, Simon Pegg",Brad Bird
Rise of the Guardians,"$145,000,000","$306,941,670","Fantasy, Animation, Family","Chris Pine, Alec Baldwin, Jude Law",Peter Ramsey
Fun with Dick and Jane,"$100,000,000","$202,026,112",Comedy,"Jim Carrey, Téa Leoni, Alec Baldwin",Dean Parisot
The Last Samurai,"$140,000,000","$456,758,981","Drama, Action, War, History","Tom Cruise, Ken Watanabe, William Atherton",Edward Zwick
Exodus: Gods and Kings,"$140,000,000","$268,031,828","Adventure, Drama, Action","Christian Bale, Joel Edgerton, John Turturro",Ridley Scott
Star Trek,"$150,000,000","$385,680,446","Science Fiction, Action, Adventure","Chris Pine, Zachary Quinto, Leonard Nimoy",J.J. Abrams
Spider-Man,"$139,000,000","$821,708,551","Fantasy, Action","Tobey Maguire, Willem Dafoe, Kirsten Dunst",Sam Raimi
How to Train Your Dragon 2,"$145,000,000","$609,123,048","Fantasy, Action, Adventure, Animation, Comedy, Family","Jay Baruchel, Gerard Butler, Kristen Wiig",Dean DeBlois
Gods of Egypt,"$140,000,000","$150,680,864",Fantasy,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler",Alex Proyas
Stealth,"$135,000,000","$76,932,943",Action,"Josh Lucas, Jessica Biel, Jamie Foxx",Rob Cohen
Watchmen,"$130,000,000","$185,258,983","Action, Mystery, Science Fiction","Malin Åkerman, Billy Crudup, Carla Gugino",Zack Snyder
Lethal Weapon 4,"$140,000,000","$285,444,603","Action, Adventure, Comedy, Crime, Thriller","Mel Gibson, Danny Glover, Joe Pesci",Richard Donner
Hulk,"$137,000,000","$245,360,480","Drama, Action, Science Fiction","Eric Bana, Jennifer Connelly, Sam Elliott",Ang Lee
G.I. Joe: Retaliation,"$130,000,000","$371,876,278","Adventure, Action, Science Fiction, Thriller","Dwayne Johnson, D.J. Cotrona, Adrianne Palicki",Jon M. Chu
Sahara,"$130,000,000","$119,269,486","Action, Adventure, Comedy, Drama, Mystery","Matthew McConaughey, Penélope Cruz, Steve Zahn",Breck Eisner
Final Fantasy: The Spirits Within,"$137,000,000","$85,131,830","Adventure, Action, Animation, Fantasy, Science Fiction, Thriller","Donald Sutherland, Ming-Na Wen, Alec Baldwin",Hironobu Sakaguchi
Captain America: The First Avenger,"$140,000,000","$370,569,774","Action, Adventure, Science Fiction","Chris Evans, Hugo Weaving, Tommy Lee Jones",Joe Johnston
The World Is Not Enough,"$135,000,000","$361,832,400","Adventure, Action, Thriller","Pierce Brosnan, Sophie Marceau, Robert Carlyle",Michael Apted
Master and Commander: The Far Side of the World,"$150,000,000","$212,011,111",Adventure,"Russell Crowe, Paul Bettany, James D'Arcy",Peter Weir
The Twilight Saga: Breaking Dawn - Part 2,"$120,000,000","$829,000,000","Adventure, Fantasy, Drama, Romance","Kristen Stewart, Robert Pattinson, Taylor Lautner",Bill Condon
Happy Feet Two,"$130,000,000","$150,406,466","Animation, Comedy, Family","Elijah Wood, Robin Williams, Pink",George Miller
The Incredible Hulk,"$150,000,000","$163,712,074","Science Fiction, Action, Adventure","Edward Norton, Liv Tyler, Tim Roth",Louis Leterrier
The BFG,"$140,000,000","$183,345,589","Adventure, Family, Fantasy","Ruby Barnhill, Mark Rylance, Rebecca Hall",Steven Spielberg
The Revenant,"$135,000,000","$532,950,503","Western, Drama, Adventure, Thriller","Leonardo DiCaprio, Tom Hardy, Will Poulter",Alejandro González Iñárritu
Turbo,"$135,000,000","$282,570,682","Animation, Family","Ryan Reynolds, Paul Giamatti, Michael Peña",David Soren
Rango,"$135,000,000","$245,724,603","Animation, Comedy, Family, Western, Adventure","Johnny Depp, Isla Fisher, Ned Beatty",Gore Verbinski
Penguins of Madagascar,"$132,000,000","$373,552,094","Family, Animation, Adventure, Comedy","Tom McGrath, Chris Miller, Christopher Knights",Eric Darnell
The Bourne Ultimatum,"$70,000,000","$442,824,138","Action, Drama, Mystery, Thriller","Matt Damon, Julia Stiles, David Strathairn",Paul Greengrass
Kung Fu Panda,"$130,000,000","$631,744,560","Adventure, Animation, Family, Comedy","Jack Black, Dustin Hoffman, Angelina Jolie",Mark Osborne
Ant-Man,"$130,000,000","$519,311,965","Science Fiction, Action, Adventure","Paul Rudd, Michael Douglas, Evangeline Lilly",Peyton Reed
The Hunger Games: Catching Fire,"$130,000,000","$847,423,452","Adventure, Action, Science Fiction","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",Francis Lawrence
Home,"$135,000,000","$368,871,007","Fantasy, Comedy, Animation, Science Fiction, Family","Jim Parsons, Rihanna, Steve Martin",Tim Johnson
War of the Worlds,"$132,000,000","$591,739,379","Adventure, Thriller, Science Fiction","Tom Cruise, Dakota Fanning, Miranda Otto",Steven Spielberg
Bad Boys II,"$130,000,000","$273,339,556","Adventure, Action, Comedy, Thriller, Crime","Martin Lawrence, Will Smith, Jordi Mollà",Michael Bay
